Sample ID: CS1-1a   Date/Time: Jul 09 2021 17:26,,,,,,,,,,,
Weight(g)=0.0   Core_A=0   Core_P=0   Dip_A=0   Dip_P=0   Overturn?: N   Hinge_A=0   Hinge_P=0   Decl=0.0,,,,,,,,,,,
Notes: ,,,,,,,,,,,
,,,,,,,,,,,
DEMAG,CD,CI,M,X,Y,Z,S/D,S/H,Orientation,Date&Time,
100,214.8,0.7,6.21E-04,-5.10E-04,-3.55E-04,7.65E-06,1.02E+02,0,T_4MR_T+Z-Z,9-Jul, 2021 17:33
100,212,1.2,6.07E-04,-5.15E-04,-3.22E-04,1.26E-05,2.39E+02,0,T_4MR_T+Z-Z,9-Jul, 2021 17:34
100,211.4,0.2,6.12E-04,-5.22E-04,-3.18E-04,2.13E-06,9.39E+01,0,T_4MR_T+Z-Z,9-Jul, 2021 17:39
150,214.2,-0.8,5.87E-04,-4.85E-04,-3.30E-04,-8.48E-06,1.20E+03,0,T_4MR_T+Z-Z,19-Jul, 2021 16:19
150,212.3,0.1,5.71E-04,-4.83E-04,-3.05E-04,1.17E-06,2.30E+01,0,T_4MR_T+Z-Z,19-Jul, 2021 16:20
150,215,-0.1,5.64E-04,-4.62E-04,-3.23E-04,-1.21E-06,8.14E+01,0,T_4MR_T+Z-Z,19-Jul, 2021 16:22
200,214.2,-2.3,4.97E-04,-4.10E-04,-2.79E-04,-1.97E-05,1.04E+03,0,T_4MR_T+Z-Z,19-Jul, 2021 18:26
200,213.4,-3.1,5.13E-04,-4.28E-04,-2.82E-04,-2.75E-05,5.35E+02,0,T_4MR_T+Z-Z,19-Jul, 2021 18:27
200,210.4,-3.3,5.03E-04,-4.34E-04,-2.54E-04,-2.89E-05,9.14E+02,0,T_4MR_T+Z-Z,19-Jul, 2021 18:29
250,213,-3.4,4.68E-04,-3.92E-04,-2.55E-04,-2.80E-05,4.82E+02,0,T_4MR_T+Z-Z,20-Jul, 2021 16:27
250,211.7,-3.4,4.57E-04,-3.88E-04,-2.40E-04,-2.70E-05,7.35E+02,0,T_4MR_T+Z-Z,20-Jul, 2021 16:29
250,211.5,-3.7,4.51E-04,-3.84E-04,-2.35E-04,-2.88E-05,7.89E+02,0,T_4MR_T+Z-Z,20-Jul, 2021 16:35
300,213.1,-6.8,3.89E-04,-3.23E-04,-2.11E-04,-4.59E-05,6.22E+02,0,T_4MR_T+Z-Z,21-Jul, 2021 08:52
300,212.3,-6.5,3.91E-04,-3.29E-04,-2.07E-04,-4.43E-05,5.48E+02,0,T_4MR_T+Z-Z,21-Jul, 2021 08:54
300,213.2,-4.4,3.92E-04,-3.27E-04,-2.14E-04,-2.99E-05,1.78E+03,0,T_4MR_T+Z-Z,21-Jul, 2021 08:55
350,209.5,-10,2.66E-04,-2.28E-04,-1.29E-04,-4.60E-05,5.55E+02,0,T_4MR_T+Z-Z,22-Jul, 2021 11:53
350,210.1,-10.1,2.55E-04,-2.17E-04,-1.26E-04,-4.45E-05,8.85E+02,0,T_4MR_T+Z-Z,22-Jul, 2021 11:56
350,207.3,-10.4,2.63E-04,-2.29E-04,-1.19E-04,-4.75E-05,1.78E+03,0,T_4MR_T+Z-Z,22-Jul, 2021 11:58
375,207.7,-12.5,2.38E-04,-2.06E-04,-1.08E-04,-5.14E-05,2.74E+02,0,T_4MR_T+Z-Z,23-Jul, 2021 14:15
375,210.2,-14,2.68E-04,-2.25E-04,-1.31E-04,-6.50E-05,9.10E+02,0,T_4MR_T+Z-Z,23-Jul, 2021 14:16
375,208.1,-12.3,2.37E-04,-2.04E-04,-1.09E-04,-5.05E-05,4.74E+02,0,T_4MR_T+Z-Z,23-Jul, 2021 14:18
400,206.6,-14.4,2.35E-04,-2.04E-04,-1.02E-04,-5.86E-05,8.04E+02,0,T_4MR_T+Z-Z,24-Jul, 2021 13:46
400,208.1,-14.7,2.31E-04,-1.97E-04,-1.05E-04,-5.87E-05,6.10E+02,0,T_4MR_T+Z-Z,24-Jul, 2021 13:47
400,205.5,-14,2.25E-04,-1.97E-04,-9.42E-05,-5.45E-05,5.88E+02,0,T_4MR_T+Z-Z,24-Jul, 2021 13:48
425,206.7,-15,2.09E-04,-1.80E-04,-9.08E-05,-5.40E-05,4.24E+02,0,T_4MR_T+Z-Z,25-Jul, 2021 10:07
425,207.9,-15.5,2.09E-04,-1.78E-04,-9.44E-05,-5.60E-05,4.85E+02,0,T_4MR_T+Z-Z,25-Jul, 2021 10:09
425,206.4,-14.5,2.08E-04,-1.80E-04,-8.94E-05,-5.18E-05,3.84E+02,0,T_4MR_T+Z-Z,25-Jul, 2021 10:10
450,205.1,-15.2,1.91E-04,-1.67E-04,-7.80E-05,-5.02E-05,2.66E+02,0,T_4MR_T+Z-Z,26-Jul, 2021 18:12
450,205.6,-15.4,2.01E-04,-1.75E-04,-8.39E-05,-5.34E-05,4.64E+02,0,T_4MR_T+Z-Z,26-Jul, 2021 18:14
450,206,-16.4,1.88E-04,-1.62E-04,-7.90E-05,-5.29E-05,3.03E+02,0,T_4MR_T+Z-Z,26-Jul, 2021 18:15
475,208.7,-14.9,1.80E-04,-1.53E-04,-8.34E-05,-4.63E-05,2.28E+02,0,T_4MR_T+Z-Z,3-Aug, 2021 08:39
475,206.8,-15.9,1.79E-04,-1.54E-04,-7.77E-05,-4.90E-05,4.35E+02,0,T_4MR_T+Z-Z,3-Aug, 2021 08:40
475,205.6,-15.7,1.82E-04,-1.58E-04,-7.58E-05,-4.93E-05,3.22E+02,0,T_4MR_T+Z-Z,3-Aug, 2021 08:41
500,205.2,-15.8,1.75E-04,-1.52E-04,-7.15E-05,-4.77E-05,2.07E+02,0,T_4MR_T+Z-Z,3-Aug, 2021 13:31
500,204,-15.6,1.76E-04,-1.55E-04,-6.91E-05,-4.74E-05,1.24E+03,0,T_4MR_T+Z-Z,3-Aug, 2021 13:32
500,205.1,-16.4,1.79E-04,-1.56E-04,-7.31E-05,-5.06E-05,3.11E+02,0,T_4MR_T+Z-Z,3-Aug, 2021 13:34
515,205.5,-16.3,1.78E-04,-1.54E-04,-7.33E-05,-5.00E-05,3.57E+02,0,T_4MR_T+Z-Z,6-Aug, 2021 10:11
515,203.4,-15.4,1.72E-04,-1.52E-04,-6.58E-05,-4.57E-05,2.69E+02,0,T_4MR_T+Z-Z,6-Aug, 2021 10:13
515,204.4,-14.5,1.69E-04,-1.49E-04,-6.75E-05,-4.24E-05,1.70E+02,0,T_4MR_T+Z-Z,6-Aug, 2021 10:16
530,203.6,-16.5,1.66E-04,-1.46E-04,-6.39E-05,-4.73E-05,3.67E+02,0,T_4MR_T+Z-Z,6-Aug, 2021 12:40
530,202.3,-16.2,1.65E-04,-1.47E-04,-6.00E-05,-4.61E-05,4.12E+02,0,T_4MR_T+Z-Z,6-Aug, 2021 12:42
530,202.9,-15.1,1.65E-04,-1.47E-04,-6.19E-05,-4.28E-05,7.07E+02,0,T_4MR_T+Z-Z,6-Aug, 2021 12:43
540,199.6,-16.5,1.56E-04,-1.41E-04,-5.02E-05,-4.43E-05,1.15E+03,0,T_4MR_T+Z-Z,9-Aug, 2021 13:18
540,199.6,-15.7,1.55E-04,-1.41E-04,-5.01E-05,-4.20E-05,3.03E+02,0,T_4MR_T+Z-Z,9-Aug, 2021 13:22
540,200.2,-16,1.59E-04,-1.43E-04,-5.29E-05,-4.39E-05,4.32E+02,0,T_4MR_T+Z-Z,9-Aug, 2021 13:23
550,202.6,-15.6,1.56E-04,-1.38E-04,-5.77E-05,-4.19E-05,3.03E+02,0,T_4MR_T+Z-Z,11-Aug, 2021 10:27
550,204.6,-15.6,1.55E-04,-1.36E-04,-6.23E-05,-4.17E-05,9.72E+02,0,T_4MR_T+Z-Z,11-Aug, 2021 10:29
550,202.5,-16.2,1.55E-04,-1.37E-04,-5.68E-05,-4.32E-05,2.98E+02,0,T_4MR_T+Z-Z,11-Aug, 2021 10:30
560,200.1,-15.9,1.45E-04,-1.31E-04,-4.79E-05,-3.97E-05,2.92E+02,0,T_4MR_T+Z-Z,12-Aug, 2021 09:23
560,199.6,-18.4,1.38E-04,-1.24E-04,-4.41E-05,-4.36E-05,1.57E+02,0,T_4MR_T+Z-Z,12-Aug, 2021 09:27
560,197.6,-17.6,1.42E-04,-1.29E-04,-4.09E-05,-4.29E-05,8.92E+01,0,T_4MR_T+Z-Z,12-Aug, 2021 09:28
566,210.9,-15.6,1.23E-04,-1.02E-04,-6.08E-05,-3.31E-05,1.30E+03,0,T_4MR_T+Z-Z,12-Aug, 2021 16:30
566,198.6,-15.3,1.48E-04,-1.35E-04,-4.54E-05,-3.89E-05,4.50E+02,0,T_4MR_T+Z-Z,12-Aug, 2021 16:32
566,202.5,-16.8,1.47E-04,-1.30E-04,-5.40E-05,-4.25E-05,7.59E+02,0,T_4MR_T+Z-Z,12-Aug, 2021 16:33
570,198.9,-16,1.22E-04,-1.11E-04,-3.81E-05,-3.36E-05,1.78E+02,0,T_4MR_T+Z-Z,13-Aug, 2021 10:34
570,199.6,-16.6,1.24E-04,-1.12E-04,-3.98E-05,-3.53E-05,1.43E+02,0,T_4MR_T+Z-Z,13-Aug, 2021 10:36
570,200,-16.9,1.23E-04,-1.10E-04,-4.01E-05,-3.57E-05,1.85E+02,0,T_4MR_T+Z-Z,13-Aug, 2021 10:38
