Sample ID: GB1-2b   Date/Time: Jun 01 2021 14:34,,,,,,,,,,,
Weight(g)=0.0   Core_A=0   Core_P=0   Dip_A=0   Dip_P=0   Overturn?: N   Hinge_A=0   Hinge_P=0   Decl=0.0,,,,,,,,,,,
Notes: ,,,,,,,,,,,
,,,,,,,,,,,
DEMAG,CD,CI,M,X,Y,Z,S/D,S/H,Orientation,Date&Time,
NRM,357,-70.6,8.35E-03,2.78E-03,-1.44E-04,-7.88E-03,2.11E+02,0,T_4MR_T+Z-Z,1-Jun, 2021 14:35
NRM,3.8,73.2,6.57E-03,1.90E-03,1.25E-04,6.29E-03,4.46E-01,0,T_4MR_T+Z-Z,1-Jun, 2021 15:13
NRM,3.3,-70.4,7.61E-03,2.54E-03,1.48E-04,-7.17E-03,2.47E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 12:20
NRM,3.5,-72.4,6.22E-03,1.87E-03,1.15E-04,-5.93E-03,3.56E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 16:10
NRM,2.3,-71.4,6.26E-03,2.00E-03,8.00E-05,-5.93E-03,4.96E+03,0,T_4MR_T+Z-Z,2-Jun, 2021 16:15
NRM,6,-71.4,6.12E-03,1.94E-03,2.05E-04,-5.81E-03,9.92E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 16:18
NRM,4.1,-72.5,6.27E-03,1.88E-03,1.35E-04,-5.98E-03,1.14E+03,0,T_4MR_T+Z-Z,2-Jun, 2021 16:20
NRM,1.9,-72.6,6.25E-03,1.86E-03,6.05E-05,-5.97E-03,3.69E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 16:21
NRM,3.1,-72.1,6.23E-03,1.91E-03,1.04E-04,-5.93E-03,3.68E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 16:23
NRM,356.2,72.1,6.14E-03,1.88E-03,-1.24E-04,5.84E-03,3.94E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 16:29
NRM,2.6,-71.6,6.09E-03,1.92E-03,8.76E-05,-5.78E-03,8.66E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 16:30
NRM,1.3,-71.7,6.21E-03,1.95E-03,4.42E-05,-5.89E-03,6.66E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 16:32
NRM,2.1,-71.4,6.34E-03,2.03E-03,7.33E-05,-6.01E-03,1.87E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 16:34
NRM,1,-71.7,6.08E-03,1.91E-03,3.38E-05,-5.77E-03,2.97E+02,0,T_4MR_T+Z-Z,2-Jun, 2021 16:36
